id;nombre_original;latitud;longitud;nombre_normalizado;tipo;pais;region;estado;municipio;parroquia_sector;direccion_referencial;telefono
1;U.E.N Claudio Feliciano;10,4245342;-67,0141795;;ESCUELA;VENEZUELA;;;;;;
2;Colegio Rondalera;10,5163147;-66,8958806;;ESCUELA;VENEZUELA;;;;;;
3;Colegio Dora Burgueño;10,5030306;-66,9001789;;ESCUELA;VENEZUELA;;;;;;
4;E.B.N. Simón Rodríguez;10,5109352;-66,8899769;;ESCUELA;VENEZUELA;;;;;;
5;Liceo José Félix Blanco;10,520244;-66,9439905;;ESCUELA;VENEZUELA;;;;;;
6;Colegio Diego Renato Mejias;10,5193975;-66,941657;;ESCUELA;VENEZUELA;;;;;;
7;Colegio Belén;10,510304;-66,8383892;;ESCUELA;VENEZUELA;;;;;;
8;Escuela La Consolación;10,4748725;-66,891274;;ESCUELA;VENEZUELA;;;;;;
9;Colegio San Felipe;10,4720069;-66,9562106;;ESCUELA;VENEZUELA;;;;;;
10;Liceo La Creación;10,4641402;-66,9833566;;ESCUELA;VENEZUELA;;;;;;
11;Escuela Inés Ponte;10,4597224;-66,9903535;;ESCUELA;VENEZUELA;;;;;;
12;Escuela Fe y Alegría Prisco Villasmil;10,4641746;-66,9836323;;ESCUELA;VENEZUELA;;;;;;
13;Escuela Santa Roraima;10,4621527;-66,9849204;;ESCUELA;VENEZUELA;;;;;;
14;Colegio Paulo VI;10,4819649;-66,9397297;;ESCUELA;VENEZUELA;;;;;;
15;Colegio Aula Nueva;10,4618303;-66,8340518;;ESCUELA;VENEZUELA;;;;;;
16;Colegio Aula Nueva;10,4637248;-66,8484844;;ESCUELA;VENEZUELA;;;;;;
17;Colegio Guzmán Blanco;10,4934931;-66,9230348;;ESCUELA;VENEZUELA;;;;;;
18;Colegio Miguel Ángel;10,4941983;-66,9244563;;ESCUELA;VENEZUELA;;;;;;
19;Colegio San Juan Bautista;10,4991527;-66,9237383;;ESCUELA;VENEZUELA;;;;;;
20;E.B. Instituto Jesús Obrero;10,5085462;-66,9431361;;ESCUELA;VENEZUELA;;;;;;
21;E.B. Enrique Rodó;10,5088679;-66,9436376;;ESCUELA;VENEZUELA;;;;;;
22;Escuela Fe y Alegría Luis Cañizales;10,5061836;-66,9345154;;ESCUELA;VENEZUELA;;;;;;
23;Escuela Luis Troconis Guerrero;10,5047491;-66,9274344;;ESCUELA;VENEZUELA;;;;;;
24;Escuela Abrahan Reyes;10,508399;-66,9371145;;ESCUELA;VENEZUELA;;;;;;
25;Escuela Martin Sanabria;10,5122625;-66,9272225;;ESCUELA;VENEZUELA;;;;;;
26;U.E. San Rafael de Paguita;10,5078952;-66,9221156;;ESCUELA;VENEZUELA;;;;;;
27;Escuela Guzmán Blanco;10,5037759;-66,9207448;;ESCUELA;VENEZUELA;;;;;;
28;Escuela José Gil Fontoul;10,5166956;-66,9161369;;ESCUELA;VENEZUELA;;;;;;
29;Colegio Santa Ana;10,4908135;-66,9205277;;ESCUELA;VENEZUELA;;;;;;
30;Colegio Santa Teresita del Niño Jesus;10,5106908;-66,9116506;;ESCUELA;VENEZUELA;;;;;;
31;U.E. Niño Dios de San José;10,5134254;-66,906827;;ESCUELA;VENEZUELA;;;;;;
32;Liceo Alcazar;10,5054582;-66,908487;;ESCUELA;VENEZUELA;;;;;;
33;Escuela Fray Luis de León;10,4970742;-66,9111988;;ESCUELA;VENEZUELA;;;;;;
34;Liceo Marina Mercante Almirante Lino de Clemente;10,4805829;-66,9004327;;ESCUELA;VENEZUELA;;;;;;
35;Colegio Dr. Nicolás J, Mendible;10,4801742;-66,8998555;;ESCUELA;VENEZUELA;;;;;;
36;Escuela Caracciolo Parra;10,4724515;-66,9004917;;ESCUELA;VENEZUELA;;;;;;
37;Colegio Tirso de Molina;10,5201841;-66,902144;;ESCUELA;VENEZUELA;;;;;;
38;Liceo Martín Tovar Aponte;10,479499;-66,9152145;;ESCUELA;VENEZUELA;;;;;;
39;U E Colegio Las Acacias;10,4845231;-66,9011112;;ESCUELA;VENEZUELA;;;;;;
40;S/N;10,4858389;-66,895572;;ESCUELA;VENEZUELA;;;;;;
41;Escuela Fe y Alegría Padre Machado;10,4886184;-66,9025482;;ESCUELA;VENEZUELA;;;;;;
42;U.E.P. Mis Anhelos;10,4865589;-66,896087;;ESCUELA;VENEZUELA;;;;;;
43;Escuela José Gonzalo Méndez;10,4756542;-66,8898121;;ESCUELA;VENEZUELA;;;;;;
44;U.E. Plaza Sésamo;10,4787681;-66,8936034;;ESCUELA;VENEZUELA;;;;;;
45;Colegio San Lázaro;10,4790924;-66,89344;;ESCUELA;VENEZUELA;;;;;;
46;Colegio Santa Caterina de Siena;10,4779795;-66,8913718;;ESCUELA;VENEZUELA;;;;;;
47;Colegio Paul Harris;10,4780295;-66,8868606;;ESCUELA;VENEZUELA;;;;;;
48;Colegio Caricuao;10,434769;-66,9844698;;ESCUELA;VENEZUELA;;;;;;
49;E.B. Octavio Antonio;10,4844228;-66,8872764;;ESCUELA;VENEZUELA;;;;;;
50;U.E. Monseñor de Castro;10,4988915;-66,9166749;;ESCUELA;VENEZUELA;;;;;;
51;E.B.N. Rita Freire de Gallego;10,5005843;-66,9173328;;ESCUELA;VENEZUELA;;;;;;
